id,loc,cnty,lon,lat,elev
307,newcastle-weather-centre,tyne-and-wear,-1.598,54.977,52
315,boulmer,northumberland,-1.601,55.421,23
317,burnhope,durham,-1.715,54.821,238
322,low-etherley,durham,-1.74,54.655,162
326,durham,durham,-1.586,54.768,102
330,south-shields,tyne-and-wear,-1.418,55.003,5
339,bainbridge,north-yorkshire,-2.101,54.308,210
341,wycliffe-hall,north-yorkshire,-1.818,54.521,120
342,dishforth-airfield,north-yorkshire,-1.414,54.135,33
346,linton-on-ouse,north-yorkshire,-1.251,54.045,14
352,south-gare,cleveland,-1.138,54.647,8
357,wykeham-forest,north-yorkshire,-0.568,54.281,214
358,fylingdales,north-yorkshire,-0.672,54.359,262
359,whitby,north-yorkshire,-0.626,54.481,41
360,scarborough,north-yorkshire,-0.423,54.273,110
363,silpho-moor,north-yorkshire,-0.53,54.338,203
367,high-mowthorpe,north-yorkshire,-0.643,54.105,175
369,hull,humberside,-0.358,53.756,2
370,leconfield,humberside,-0.442,53.875,7
373,bridlington-mrsc,humberside,-0.176,54.094,15
376,kilnsea,humberside,0.141,53.622,12
377,spurn-point,humberside,0.111,53.575,6
379,cowden,humberside,-0.103,53.844,15
381,scampton,lincolnshire,-0.548,53.307,57
384,waddington,lincolnshire,-0.523,53.175,68
386,cranwell,lincolnshire,-0.504,53.031,63
392,kirton-horticulture,lincolnshire,-0.068,52.937,4
393,coningsby,lincolnshire,-0.173,53.094,6
394,binbrook,lincolnshire,-0.202,53.445,108
395,holbeach-no-2,lincolnshire,0.139,52.873,3
396,driby,lincolnshire,0.077,53.249,41
399,cleethorpes-haverstoe-park,humberside,-0.03,53.55,7
401,manby,lincolnshire,0.097,53.361,13
403,skegness,lincolnshire,0.346,53.148,6
404,lincoln-canwick,lincolnshire,-0.505,53.222,7
405,donna-nook-no-2,lincolnshire,0.153,53.475,8
406,terrington-st-clement,norfolk,0.288,52.745,2
407,denver,norfolk,0.346,52.583,3
408,norwich-weather-centre,norfolk,1.298,52.626,35
409,marham,norfolk,0.566,52.651,21
413,santon-downham,suffolk,0.671,52.459,6
415,west-raynham,norfolk,0.737,52.786,73
416,sculthorpe,norfolk,0.755,52.851,65
417,bressingham,norfolk,1.052,52.387,35
